"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1111","GET all products should return 200","chromium","2026-03-11","passed","2026-03-11","Products API","api\products.api.spec.ts","",""
"","335","POST create new account","chromium","2026-03-11","passed","2026-03-11","Products API","api\products.api.spec.ts","",""
"","26732","Checkout Page details","chromium","2026-03-11","passed","2026-03-11","","ui\checkout.spec.ts","",""
"","461","DELETE account","chromium","2026-03-11","failed","2026-03-11","Products API","api\products.api.spec.ts","",""
"","4445","Register Page","chromium","2026-03-11","passed","2026-03-11","","ui\register.spec.ts","",""
"","1052","search a product","chromium","2026-03-11","passed","2026-03-11","Products API","api\products.api.spec.ts","",""
"","6621","should login with valid credentials","chromium","2026-03-11","passed","2026-03-11","Login Tests","ui\login.spec.ts","",""
"","25629","Payment Page details","chromium","2026-03-11","passed","2026-03-11","","ui\payment.spec.ts","",""
"","1129","GET all brands should return 200","chromium","2026-03-11","passed","2026-03-11","Products API","api\products.api.spec.ts","",""
"","1097","POST verify login with invalid credentials","chromium","2026-03-11","passed","2026-03-11","Products API","api\products.api.spec.ts","",""
"","12880","view cart details","chromium","2026-03-11","passed","2026-03-11","","ui\viewCart.spec.ts","",""
"","10277","Product details","chromium","2026-03-11","failed","2026-03-11","","ui\product.spec.ts","",""
"","1095","POST verify login with valid credentials","chromium","2026-03-11","passed","2026-03-11","Products API","api\products.api.spec.ts","",""
"","1068","Post all product details should return 200","chromium","2026-03-11","passed","2026-03-11","Products API","api\products.api.spec.ts","",""
"","6258","should show error with invalid credentials","chromium","2026-03-11","passed","2026-03-11","Login Tests","ui\login.spec.ts","",""
